Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930000122.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1999.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000115.0;1.0;Осталось на месте ДТП;С задним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ  Жигули  ВАЗ-2107 модификации;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930000115.0;2.0;Осталось на месте ДТП;С задним приводом;Медицинские комплексы на шасси транспортных средств;2021.0;ГАЗ Next;Юридические лица, являющиеся некоммерческими организациями;Желтый;;Технические неисправности отсутствуют
930000114.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2001.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000114.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2006.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000103.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;TOYOTA Allex;Физические лица;Серый;;Технические неисправности отсутствуют
930000100.0;1.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2012.0;TOYOTA Vitz;Физические лица;Серый;;Технические неисправности отсутствуют
930000100.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000098.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1997.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Коричневый;;Технические неисправности отсутствуют
930000091.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1998.0;HONDA Civic;Физические лица;Серый;;Технические неисправности отсутствуют
930000120.0;1.0;Скрылось с места ДТП;;С-класс (малый средний, компактный) до 4,3 м;; ;;;;Технические неисправности отсутствуют
930000074.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2000.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000074.0;2.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;2002.0;MERCEDES E-класс;Физические лица;Черный;;Технические неисправности отсутствуют
930000138.0;1.0;Скрылось и установлено в срок от 3 до 10 суток;С задним приводом;С-класс (малый средний, компактный) до 4,3 м;1985.0;ВАЗ  Жигули  ВАЗ-2106 модификации;Физические лица;Желтый;;Технические неисправности отсутствуют
930000062.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1999.0;MITSUBISHI Space Wagon;Физические лица;Черный;;Технические неисправности отсутствуют
930000062.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930000060.0;1.0;Осталось на месте ДТП;С задним приводом;Одноэтажные длиной от 5 до 8 м;2012.0;MERCEDES Прочие модели Mercedes;Индивидуальные предприниматели без образования юридического лица;Белый;;Технические неисправности отсутствуют
930000060.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2002.0;HONDA Fit Aria;Физические лица;Серый;;Технические неисправности отсутствуют
930000049.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2009.0;ВАЗ Priora;Физические лица;Черный;;Технические неисправности отсутствуют
930000049.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2020.0;RENAULT Logan;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930000384.0;1.0;Скрылось и установлено в срок свыше 10 суток;С передним приводом;D-класс (средний) до 4,6 м;2013.0;RENAULT Logan;Физические лица;Белый;;Технические неисправности отсутствуют
930000384.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2009.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000036.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2000.0;TOYOTA Previa;Физические лица;Черный;;Технические неисправности отсутствуют
930000036.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2004.0;TOYOTA Wish;Физические лица;Черный;;Технические неисправности отсутствуют
930000030.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2006.0;TOYOTA Premio;Физические лица;Серый;;Технические неисправности отсутствуют
930000021.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1997.0;AUDI А6;Физические лица;Серый;;Технические неисправности отсутствуют
930000023.0;1.0;Скрылось и установлено в срок от 3 до 10 суток;Полноприводные;Прочие легковые автомобили;2019.0;УАЗ Прочие модели УАЗ;Физические лица;Серый;;Технические неисправности отсутствуют
930000015.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;D-класс (средний) до 4,6 м;2008.0;TOYOTA Avensis;Физические лица;Серый;;Технические неисправности отсутствуют
930000006.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1994.0;TOYOTA Carina;Физические лица;Серый;;Технические неисправности отсутствуют
930000006.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ Priora;Физические лица;Серый;;Технические неисправности отсутствуют
930000003.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1997.0;TOYOTA Camry;Физические лица;Серый;;Технические неисправности отсутствуют
930000003.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1998.0;NISSAN Pulsar;Физические лица;Белый;;Технические неисправности отсутствуют
930000002.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2005.0;TOYOTA Vista;Физические лица;Серый;;Технические неисправности отсутствуют
930000241.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2013.0;RENAULT Logan;Физические лица;Белый;;Технические неисправности отсутствуют
930000241.0;2.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2011.0;УАЗ 3909;Физические лица;Белый;;Технические неисправности отсутствуют
930000239.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2010.0;ВАЗ ВАЗ 2115 и модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000228.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ Priora;Физические лица;Белый;;Технические неисправности отсутствуют
930000227.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Серый;;Технические неисправности отсутствуют
930000220.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2002.0;TOYOTA Vitz;Физические лица;Белый;;Технические неисправности отсутствуют
930000216.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930000200.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2013.0;FORD Focus;Юридические лица, являющиеся некоммерческими организациями;Черный;;Технические неисправности отсутствуют
930000200.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ Granta (Гранта);Физические лица;Серый;;Технические неисправности отсутствуют
930000210.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2002.0;HONDA Accord;Физические лица;Серый;;Технические неисправности отсутствуют
930000210.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2002.0;TOYOTA Allion;Физические лица;Синий;;Технические неисправности отсутствуют
930000191.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2000.0;MAZDA Capella;Физические лица;Синий;;Технические неисправности отсутствуют
930000194.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1999.0;TOYOTA Vitz;Физические лица;Белый;;Технические неисправности отсутствуют
930000195.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2020.0;ВАЗ Granta (Гранта);Юридические лица, являющиеся некоммерческими организациями;Белый;;Технические неисправности отсутствуют
930000195.0;2.0;Осталось на месте ДТП;С передним приводом;Бортовые грузовые автомобили;1991.0;ГАЗ ГАЗ 3110, 3110-101, 3110-111, 3110-311, 3110-331, 3110-341, 3110-411, 3110-441, 3110-600;Физические лица;Синий;;Технические неисправности отсутствуют
930000187.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2014.0;TOYOTA RAV 4;Физические лица;Желтый;;Технические неисправности отсутствуют
930000189.0;1.0;Скрылось и установлено в срок от 1 до 3 суток;С передним приводом;Минивэны и универсалы повышенной вместимости;2005.0;TOYOTA Прочие модели Toyota;Физические лица;Серый;;Технические неисправности отсутствуют
930000188.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000178.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000178.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1997.0;TOYOTA Ipsum;Физические лица;Серый;;Технические неисправности отсутствуют
930000186.0;1.0;Осталось на месте ДТП;С передним приводом;А-класс (особо малый) до 3,5 м;2004.0;ВАЗ  Ока  ВАЗ-1111 и модификации;Физические лица;Фиолетовый;;Технические неисправности отсутствуют
930000186.0;2.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;1999.0;HONDA CR-V;Физические лица;Желтый;;Технические неисправности отсутствуют
930000177.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2004.0;TOYOTA Avensis;Физические лица;Синий;;Технические неисправности отсутствуют
930000177.0;2.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2017.0;VOLKSWAGEN Tiguan;Физические лица;Черный;;Технические неисправности отсутствуют
930000175.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2004.0;TOYOTA Camry;Физические лица;Желтый;;Технические неисправности отсутствуют
930000175.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000175.0;3.0;Осталось на месте ДТП;;Прицепы к легковым автомобилям;2021.0; ;Физические лица;Серый;;Технические неисправности отсутствуют
930000171.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1991.0;TOYOTA Corona;Физические лица;Серый;;Технические неисправности отсутствуют
930000171.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1999.0;NISSAN Sunny;Физические лица;Серый;;Технические неисправности отсутствуют
930000154.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1992.0;TOYOTA Vista;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000140.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930000133.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2004.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000133.0;2.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;1996.0;ВАЗ  Нива  ВАЗ-2121 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930000137.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2001.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000137.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2001.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Белый;;Технические неисправности отсутствуют
930000394.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Прочие легковые автомобили;2014.0;УАЗ 3909;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000389.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2000.0;TOYOTA Town Ace;Физические лица;Серый;;Технические неисправности отсутствуют
930000389.0;2.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;2004.0;MERCEDES E-класс;Физические лица;Серый;;Технические неисправности отсутствуют
930000381.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2008.0;PEUGEOT 308;Физические лица;Желтый;;Технические неисправности отсутствуют
930000377.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2010.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000382.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1995.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Белый;;Технические неисправности отсутствуют
930000367.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1997.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Красный;;Технические неисправности отсутствуют
930000359.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;1997.0;HONDA CR-V;Физические лица;Серый;;Технические неисправности отсутствуют
930000356.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2013.0;RENAULT Logan;Физические лица;Синий;;Технические неисправности отсутствуют
930000354.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1999.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Серый;;Технические неисправности отсутствуют
930000354.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2007.0;MERCEDES Прочие модели Mercedes;Физические лица;Серый;;Технические неисправности отсутствуют
930000336.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2009.0;ВАЗ  Нива  ВАЗ-2121 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000336.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2002.0;TOYOTA Ipsum;Физические лица;Белый;;Технические неисправности отсутствуют
930000331.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2001.0;NISSAN Cube;Физические лица;Серый;;Технические неисправности отсутствуют
930000331.0;2.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2001.0;TOYOTA Harrier;Физические лица;Серый;;Технические неисправности отсутствуют
930000331.0;3.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2014.0;ВАЗ Largus (Ларгус);Юридические лица, являющиеся некоммерческими организациями;Серый;;Технические неисправности отсутствуют
930000325.0;2.0;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;1990.0;MITSUBISHI Прочие модели MITSUBISHI;Физические лица;Белый;;Технические неисправности отсутствуют
930000325.0;1.0;Осталось на месте ДТП;С задним приводом;Минивэны и универсалы повышенной вместимости;2002.0;ВАЗ  Жигули  ВАЗ-2104 модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930000323.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2003.0;SUBARU Impreza;Физические лица;Белый;;Технические неисправности отсутствуют
930000314.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;1995.0;ВАЗ  Жигули  ВАЗ-2108, 09 и модификации                       ;Физические лица;Красный;;Технические неисправности отсутствуют
930000314.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2004.0;MAZDA Demio;Физические лица;Серый;;Технические неисправности отсутствуют
930000304.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2000.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000300.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2021.0;ВАЗ Granta (Гранта);Юридические лица, являющиеся коммерческими организациями;Серый;;Технические неисправности отсутствуют
930000300.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Серый;;Технические неисправности отсутствуют
930000295.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;HONDA Logo;Физические лица;Белый;;Технические неисправности отсутствуют
930000281.0;1.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2020.0;ГАЗ 2705  Газель , 27057 и модификации;Юридические лица, являющиеся некоммерческими организациями;Белый;;Технические неисправности отсутствуют
930000281.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Серый;;Технические неисправности отсутствуют
930000276.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2016.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000541.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2020.0;ИЖ Планета;Физические лица;Черный;;Технические неисправности отсутствуют
930000534.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1999.0;HONDA Stepwgn;Физические лица;Белый;;Технические неисправности отсутствуют
930000530.0;1.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;2008.0;MAZDA Premacy;Физические лица;Белый;;Технические неисправности отсутствуют
930000531.0;1.0;Осталось на месте ДТП;С задним приводом;Самосвалы;2013.0;SHACMAN Прочие модели SHACMAN;Индивидуальные предприниматели без образования юридического лица;Желтый;;Неисправность рабочей тормозной системы
930000528.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930000525.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2003.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Желтый;;Технические неисправности отсутствуют
930000519.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2013.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000519.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2008.0;ВАЗ Priora;Физические лица;Серый;;Технические неисправности отсутствуют
930000514.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2020.0;ВАЗ Granta (Гранта);Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930000514.0;2.0;Осталось на месте ДТП;;Велосипеды;; ;Физические лица;;;Технические неисправности отсутствуют
930000509.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2011.0;УАЗ 22069;Физические лица;Серый;;Технические неисправности отсутствуют
930000506.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2011.0;ВАЗ Priora;Физические лица;Черный;;Технические неисправности отсутствуют
930000501.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;1996.0;TOYOTA Camry;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000501.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2005.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000504.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2007.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000505.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2011.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Синий;;Технические неисправности отсутствуют
930000505.0;2.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2017.0;NISSAN Прочие марки Nissan;Физические лица;Черный;;Технические неисправности отсутствуют
930000503.0;1.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;1993.0;TOYOTA Mark II;Физические лица;Белый;;Технические неисправности отсутствуют
930000489.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2009.0;ВАЗ ВАЗ 2114 и модификации;Физические лица;Черный;;Технические неисправности отсутствуют
930000486.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2000.0;TOYOTA Funcargo;Физические лица;Желтый;;Технические неисправности отсутствуют
930000475.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;1996.0;HONDA CR-V;Физические лица;Серый;;Технические неисправности отсутствуют
930000484.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2001.0;HONDA FIT;Физические лица;Синий;;Технические неисправности отсутствуют
930000469.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1999.0;TOYOTA Caldina;Физические лица;Черный;;Технические неисправности отсутствуют
930000468.0;1.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;1997.0;TOYOTA Chaser;Физические лица;Черный;;Технические неисправности отсутствуют
930000468.0;2.0;Осталось на месте ДТП;С задним приводом;Одноэтажные длиной от 5 до 8 м;2011.0;ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации;Физические лица;Белый;;Технические неисправности отсутствуют
930000461.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1996.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930000461.0;2.0;Осталось на месте ДТП;С задним приводом;Бортовые грузовые автомобили;2002.0;ГАЗ 3302, 33027 и модификации;Юридические лица, являющиеся коммерческими организациями;Белый;;Технические неисправности отсутствуют
930000464.0;1.0;Осталось на месте ДТП;С задним приводом;Рефрижераторы;1997.0;ISUZU Прочие модели Isuzu;Физические лица;Белый;;Технические неисправности отсутствуют
930000488.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2018.0;MINSK Прочие модели Minsk;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000459.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2013.0;MITSUBISHI Outlander;Физические лица;Серый;;Технические неисправности отсутствуют
930000460.0;1.0;Скрылось с места ДТП;;С-класс (малый средний, компактный) до 4,3 м;; ;;;;Технические неисправности отсутствуют
930000454.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2005.0;TOYOTA Camry;Физические лица;Серый;;Технические неисправности отсутствуют
930000454.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ Priora;Физические лица;Красный;;Технические неисправности отсутствуют
930000453.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2001.0;TOYOTA Corolla;Физические лица;Серый;;Технические неисправности отсутствуют
930000444.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1998.0;VOLKSWAGEN Bora;Физические лица;Серый;;Иные неисправности
930000428.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2021.0;MOTOTRANS Прочие модели Mototrans;Физические лица;Синий;;Технические неисправности отсутствуют
930000425.0;1.0;Скрылось и установлено в срок до 1 суток;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2003.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000422.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2007.0;ВАЗ ВАЗ 2112 и модификации;Физические лица;Синий;;Технические неисправности отсутствуют
930000422.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Серый;;Технические неисправности отсутствуют
930000416.0;1.0;Осталось на месте ДТП;С задним приводом;D-класс (средний) до 4,6 м;2002.0;TOYOTA Allion;Физические лица;Синий;;Технические неисправности отсутствуют
930000413.0;1.0;Осталось на месте ДТП;Полноприводные;С-класс (малый средний, компактный) до 4,3 м;2001.0;TOYOTA Land Cruiser;Физические лица;Серый;;Технические неисправности отсутствуют
930000413.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2016.0;HYUNDAI Solaris;Физические лица;Белый;;Технические неисправности отсутствуют
930000400.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;2016.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Серый;;Технические неисправности отсутствуют
930000399.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2008.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000403.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Велосипеды;2020.0; ;Физические лица;Красный;;Технические неисправности отсутствуют
930000403.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930000700.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2014.0;TOYOTA Прочие модели Toyota;Физические лица;Синий;;Технические неисправности отсутствуют
930000700.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2021.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Белый;;Технические неисправности отсутствуют
930000697.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2012.0;ВАЗ Granta (Гранта);Физические лица;Черный;;Технические неисправности отсутствуют
930000697.0;2.0;Осталось на месте ДТП;Не заполнено;Велосипеды;; ;Физические лица;;;Технические неисправности отсутствуют
930000693.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2008.0;TOYOTA Avensis;Физические лица;Зеленый;;Технические неисправности отсутствуют
