Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930002029.0;1.0;Скрылось и установлено в срок от 3 до 10 суток;Иное расположение рулевого управления;Мотоциклы;2018.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Черный;;Технические неисправности отсутствуют
930001977.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;1992.0;TOYOTA Kluger;Физические лица;Серый;;Технические неисправности отсутствуют
930001977.0;2.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2003.0;TOYOTA Allion;Физические лица;Белый;;Технические неисправности отсутствуют
930001983.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2002.0;ВАЗ Прочие модели ВАЗ;Физические лица;Серый;;Технические неисправности отсутствуют
930001983.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Велосипеды (без двигателя);2019.0; ;Физические лица;Синий;;Технические неисправности отсутствуют
930001973.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2022.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Черный;;Не устанавливались
930001963.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2013.0;SKODA Fabia;Физические лица;Черный;;Технические неисправности отсутствуют
930001964.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2001.0;TOYOTA Corolla;Физические лица;Черный;;Технические неисправности отсутствуют
930001956.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2018.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930001957.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2012.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Синий;;Технические неисправности отсутствуют
930001940.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2009.0;HONDA Insight;Физические лица;Серый;;Технические неисправности отсутствуют
930001937.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2012.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Зеленый;;Технические неисправности отсутствуют
930001938.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2025.0;ВАЗ Granta (Гранта);Физические лица;Черный;;Технические неисправности отсутствуют
930001947.0;2.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;2006.0;TOYOTA RAV 4;Физические лица;Черный;;Технические неисправности отсутствуют
930001947.0;1.0;Осталось на месте ДТП;С передним приводом;В-класс (малый) до 3,9 м;1993.0;TOYOTA Corolla;Физические лица;Белый;;Технические неисправности отсутствуют
930001982.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002044.0;1.0;Скрылось с места ДТП;Иное расположение рулевого управления;Мотоциклы;; ;;;;Технические неисправности отсутствуют
930001927.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;HONDA FIT;Физические лица;Синий;;Технические неисправности отсутствуют
930000218.0;1.0;Осталось на месте ДТП;С задним приводом;Самосвалы;2021.0;SHACMAN Прочие модели SHACMAN;Физические лица;Красный;;Технические неисправности отсутствуют
930000212.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2006.0;ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108;Физические лица;Зеленый;;Технические неисправности отсутствуют
930000207.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2024.0;ВАЗ Granta (Гранта);Юридические лица, являющиеся коммерческими организациями;Серый;;Технические неисправности отсутствуют
